src_office_id,route_id,delta_volume_expected,window_duration,cutoff_at,created_at
700,70,1200,600,2024-08-12 11:20:00,2024-08-13 16:18:50
800,80,900,600,2024-08-12 11:20:00,2024-08-13 16:18:50
900,90,100,600,2024-08-12 11:20:00,2024-08-13 16:18:50
100,10,800,600,2024-08-12 11:30:00,2024-08-13 16:18:50
200,20,1400,600,2024-08-12 11:30:00,2024-08-13 16:18:50
300,30,1300,600,2024-08-12 11:30:00,2024-08-13 16:18:50
400,40,100,600,2024-08-12 11:30:00,2024-08-13 16:18:50
500,50,0,600,2024-08-12 11:30:00,2024-08-13 16:18:50
600,60,1500,600,2024-08-12 11:30:00,2024-08-13 16:18:50
700,70,200,600,2024-08-12 11:30:00,2024-08-13 16:18:50
800,80,1200,600,2024-08-12 11:30:00,2024-08-13 16:18:50
900,90,100,600,2024-08-12 11:30:00,2024-08-13 16:18:50
100,10,800,600,2024-08-12 11:40:00,2024-08-13 16:18:50
200,20,100,600,2024-08-12 11:40:00,2024-08-13 16:18:50
300,30,200,600,2024-08-12 11:40:00,2024-08-13 16:18:50
400,40,0,600,2024-08-12 11:40:00,2024-08-13 16:18:50
500,50,600,600,2024-08-12 11:40:00,2024-08-13 16:18:50
600,60,0,600,2024-08-12 11:40:00,2024-08-13 16:18:50
700,70,1700,600,2024-08-12 11:40:00,2024-08-13 16:18:50
800,80,1900,600,2024-08-12 11:40:00,2024-08-13 16:18:50
900,90,800,600,2024-08-12 11:40:00,2024-08-13 16:18:50
100,10,1000,600,2024-08-12 11:50:00,2024-08-13 16:18:50
200,20,500,600,2024-08-12 11:50:00,2024-08-13 16:18:50
300,30,1200,600,2024-08-12 11:50:00,2024-08-13 16:18:50
400,40,100,600,2024-08-12 11:50:00,2024-08-13 16:18:50
500,50,1900,600,2024-08-12 11:50:00,2024-08-13 16:18:50
600,60,1300,600,2024-08-12 11:50:00,2024-08-13 16:18:50
700,70,1500,600,2024-08-12 11:50:00,2024-08-13 16:18:50
800,80,1200,600,2024-08-12 11:50:00,2024-08-13 16:18:50
900,90,1200,600,2024-08-12 11:50:00,2024-08-13 16:18:50
100,10,1000,600,2024-08-12 12:00:00,2024-08-13 16:18:50
200,20,1100,600,2024-08-12 12:00:00,2024-08-13 16:18:50
300,30,1200,600,2024-08-12 12:00:00,2024-08-13 16:18:50
400,40,1000,600,2024-08-12 12:00:00,2024-08-13 16:18:50
500,50,200,600,2024-08-12 12:00:00,2024-08-13 16:18:50
600,60,1700,600,2024-08-12 12:00:00,2024-06-13 16:18:50
700,70,1800,600,2024-08-12 12:00:00,2024-08-13 16:18:50
800,80,1900,600,2024-08-12 12:00:00,2024-08-13 16:18:50
900,90,1800,600,2024-08-12 12:00:00,2024-08-13 16:18:50
100,10,600,600,2024-08-12 12:10:00,2024-08-13 16:18:50
200,20,200,600,2024-08-12 12:10:00,2024-08-13 16:18:50
300,30,800,600,2024-08-12 12:10:00,2024-08-13 16:18:50
400,40,400,600,2024-08-12 12:10:00,2024-08-13 16:18:50
500,50,700,600,2024-08-12 12:10:00,2024-08-13 16:18:50
600,60,1100,600,2024-08-12 12:10:00,2024-08-13 16:18:50
700,70,1200,600,2024-08-12 12:10:00,2024-08-13 16:18:50
800,80,600,600,2024-08-12 12:10:00,2024-08-13 16:18:50
900,90,800,600,2024-08-12 12:10:00,2024-08-13 16:18:50
100,10,100,600,2024-08-12 12:20:00,2024-08-13 16:18:50
200,20,300,600,2024-08-12 12:20:00,2024-08-13 16:18:50
300,30,100,600,2024-08-12 12:20:00,2024-08-13 16:18:50
400,40,0,600,2024-08-12 12:20:00,2024-08-13 16:18:50
500,50,0,600,2024-08-12 12:20:00,2024-08-13 16:18:50
600,60,1000,600,2024-08-12 12:20:00,2024-08-13 16:18:50
700,70,200,600,2024-08-12 12:20:00,2024-08-13 16:18:50
800,80,500,600,2024-08-12 12:20:00,2024-08-13 16:18:50
900,90,900,600,2024-08-12 12:20:00,2024-08-13 16:18:50
100,10,700,600,2024-08-12 12:30:00,2024-08-13 16:18:50
200,20,1500,600,2024-08-12 12:30:00,2024-08-13 16:18:50
300,30,1400,600,2024-08-12 12:30:00,2024-08-13 16:18:50
400,40,1300,600,2024-08-12 12:30:00,2024-08-13 16:18:50
500,50,1000,600,2024-08-12 12:30:00,2024-08-13 16:18:50
600,60,1300,600,2024-08-12 12:30:00,2024-08-13 16:18:50
700,70,700,600,2024-08-12 12:30:00,2024-08-13 16:18:50
800,80,1200,600,2024-08-12 12:30:00,2024-08-13 16:18:50
900,90,1100,600,2024-08-12 12:30:00,2024-08-13 16:18:50
100,10,1300,600,2024-08-12 12:40:00,2024-08-13 16:18:50
200,20,1300,600,2024-08-12 12:40:00,2024-08-13 16:18:50
300,30,700,600,2024-08-12 12:40:00,2024-08-13 16:18:50
400,40,1500,600,2024-08-12 12:40:00,2024-08-13 16:18:50
500,50,1200,600,2024-08-12 12:40:00,2024-08-13 16:18:50
600,60,500,600,2024-08-12 12:40:00,2024-08-13 16:18:50
700,70,300,600,2024-08-12 12:40:00,2024-08-13 16:18:50
800,80,400,600,2024-08-12 12:40:00,2024-08-13 16:18:50
900,90,900,600,2024-08-12 12:40:00,2024-08-13 16:18:50
100,10,700,600,2024-08-12 12:50:00,2024-08-13 16:18:50
200,20,500,600,2024-08-12 12:50:00,2024-08-13 16:18:50
300,30,1100,600,2024-08-12 12:50:00,2024-08-13 16:18:50
400,40,600,600,2024-08-12 12:50:00,2024-08-13 16:18:50
500,50,600,600,2024-08-12 12:50:00,2024-08-13 16:18:50
600,60,1900,600,2024-08-12 12:50:00,2024-08-13 16:18:50
700,70,700,600,2024-08-12 12:50:00,2024-08-13 16:18:50
800,80,600,600,2024-08-12 12:50:00,2024-08-13 16:18:50
900,90,1000,600,2024-08-12 12:50:00,2024-08-13 16:18:50
100,10,300,600,2024-08-12 13:00:00,2024-08-13 16:18:50
200,20,300,600,2024-08-12 13:00:00,2024-08-13 16:18:50
300,30,100,600,2024-08-12 13:00:00,2024-08-13 16:18:50
400,40,1800,600,2024-08-12 13:00:00,2024-08-13 16:18:50
500,50,600,600,2024-08-12 13:00:00,2024-08-13 16:18:50
600,60,200,600,2024-08-12 13:00:00,2024-08-13 16:18:50
700,70,0,600,2024-08-12 13:00:00,2024-08-13 16:18:50
800,80,1500,600,2024-08-12 13:00:00,2024-08-13 16:18:50
900,90,400,600,2024-08-12 13:00:00,2024-08-13 16:18:50
100,10,300,600,2024-08-12 13:10:00,2024-08-13 16:18:50
200,20,1000,600,2024-08-12 13:10:00,2024-08-13 16:18:50
300,30,1700,600,2024-08-12 13:10:00,2024-08-13 16:18:50
400,40,200,600,2024-08-12 13:10:00,2024-08-13 16:18:50
500,50,600,600,2024-08-12 13:10:00,2024-08-13 16:18:50
600,60,200,600,2024-08-12 13:10:00,2024-08-13 16:18:50
700,70,100,600,2024-08-12 13:10:00,2024-08-13 16:18:50
800,80,0,600,2024-08-12 13:10:00,2024-08-13 16:18:50
900,90,1600,600,2024-08-12 13:10:00,2024-08-13 16:18:50
100,10,0,600,2024-08-12 13:20:00,2024-08-13 16:18:50
200,20,1400,600,2024-08-12 13:20:00,2024-08-13 16:18:50
300,30,1500,600,2024-08-12 13:20:00,2024-08-13 16:18:50
400,40,1400,600,2024-08-12 13:20:00,2024-08-13 16:18:50
500,50,1200,600,2024-08-12 13:20:00,2024-08-13 16:18:50
600,60,500,600,2024-08-12 13:20:00,2024-08-13 16:18:50
700,70,200,600,2024-08-12 13:20:00,2024-08-13 16:18:50
800,80,1700,600,2024-08-12 13:20:00,2024-08-13 16:18:50
900,90,600,600,2024-08-12 13:20:00,2024-08-13 16:18:50
100,10,1800,600,2024-08-12 13:30:00,2024-08-13 16:18:50
200,20,1100,600,2024-08-12 13:30:00,2024-08-13 16:18:50
300,30,200,600,2024-08-12 13:30:00,2024-08-13 16:18:50
400,40,1000,600,2024-08-12 13:30:00,2024-08-13 16:18:50
500,50,1900,600,2024-08-12 13:30:00,2024-08-13 16:18:50
600,60,1100,600,2024-08-12 13:30:00,2024-08-13 16:18:50
700,70,1100,600,2024-08-12 13:30:00,2024-08-13 16:18:50
800,80,1000,600,2024-08-12 13:30:00,2024-08-13 16:18:50
900,90,1000,600,2024-08-12 13:30:00,2024-08-13 16:18:50
100,10,0,600,2024-08-12 13:40:00,2024-08-13 16:18:50
200,20,200,600,2024-08-12 13:40:00,2024-08-13 16:18:50
300,30,1900,600,2024-08-12 13:40:00,2024-08-13 16:18:50
400,40,1600,600,2024-08-12 13:40:00,2024-08-13 16:18:50
500,50,100,600,2024-08-12 13:40:00,2024-08-13 16:18:50
600,60,1400,600,2024-08-12 13:40:00,2024-08-13 16:18:50
700,70,200,600,2024-08-12 13:40:00,2024-08-13 16:18:50
800,80,100,600,2024-08-12 13:40:00,2024-08-13 16:18:50
900,90,300,600,2024-08-12 13:40:00,2024-08-13 16:18:50
100,10,1000,600,2024-08-12 13:50:00,2024-08-13 16:18:50
200,20,1700,600,2024-08-12 13:50:00,2024-08-13 16:18:50
300,30,1900,600,2024-08-12 13:50:00,2024-08-13 16:18:50
400,40,1100,600,2024-08-12 13:50:00,2024-08-13 16:18:50
500,50,500,600,2024-08-12 13:50:00,2024-08-13 16:18:50
600,60,700,600,2024-08-12 13:50:00,2024-08-13 16:18:50
700,70,400,600,2024-08-12 13:50:00,2024-08-13 16:18:50
800,80,300,600,2024-08-12 13:50:00,2024-08-13 16:18:50
900,90,900,600,2024-08-12 13:50:00,2024-08-13 16:18:50
100,10,600,600,2024-08-12 14:00:00,2024-08-13 16:18:50
200,20,600,600,2024-08-12 14:00:00,2024-08-13 16:18:50
300,30,1600,600,2024-08-12 14:00:00,2024-08-13 16:18:50
400,40,900,600,2024-08-12 14:00:00,2024-08-13 16:18:50
500,50,900,600,2024-08-12 14:00:00,2024-08-13 16:18:50
600,60,1100,600,2024-08-12 14:00:00,2024-08-13 16:18:50
700,70,0,600,2024-08-12 14:00:00,2024-08-13 16:18:50
800,80,700,600,2024-08-12 14:00:00,2024-08-13 16:18:50
900,90,200,600,2024-08-12 14:00:00,2024-08-13 16:18:50
100,10,600,600,2024-08-12 14:10:00,2024-08-13 16:18:50
200,20,700,600,2024-08-12 14:10:00,2024-08-13 16:18:50
300,30,800,600,2024-08-12 14:10:00,2024-08-13 16:18:50
400,40,1000,600,2024-08-12 14:10:00,2024-08-13 16:18:50
500,50,300,600,2024-08-12 14:10:00,2024-08-13 16:18:50
600,60,200,600,2024-08-12 14:10:00,2024-08-13 16:18:50
700,70,700,600,2024-08-12 14:10:00,2024-08-13 16:18:50
800,80,1900,600,2024-08-12 14:10:00,2024-08-13 16:18:50
900,90,1900,600,2024-08-12 14:10:00,2024-08-13 16:18:50
100,10,1500,600,2024-08-12 14:20:00,2024-08-13 16:18:50
200,20,1200,600,2024-08-12 14:20:00,2024-08-13 16:18:50
300,30,1200,600,2024-08-12 14:20:00,2024-08-13 16:18:50
400,40,400,600,2024-08-12 14:20:00,2024-08-13 16:18:50
500,50,400,600,2024-08-12 14:20:00,2024-08-13 16:18:50
600,60,300,600,2024-08-12 14:20:00,2024-08-13 16:18:50
700,70,300,600,2024-08-12 14:20:00,2024-08-13 16:18:50
800,80,400,600,2024-08-12 14:20:00,2024-08-13 16:18:50
900,90,900,600,2024-08-12 14:20:00,2024-08-13 16:18:50
100,10,1100,600,2024-08-12 14:30:00,2024-08-13 16:18:50
200,20,1600,600,2024-08-12 14:30:00,2024-08-13 16:18:50
300,30,900,600,2024-08-12 14:30:00,2024-08-13 16:18:50
400,40,1300,600,2024-08-12 14:30:00,2024-08-13 16:18:50
500,50,1100,600,2024-08-12 14:30:00,2024-08-13 16:18:50
600,60,900,600,2024-08-12 14:30:00,2024-08-13 16:18:50
700,70,1300,600,2024-08-12 14:30:00,2024-08-13 16:18:50
800,80,800,600,2024-08-12 14:30:00,2024-08-13 16:18:50
900,90,1200,600,2024-08-12 14:30:00,2024-08-13 16:18:50
100,10,400,600,2024-08-12 14:40:00,2024-08-13 16:18:50
200,20,900,600,2024-08-12 14:40:00,2024-08-13 16:18:50
300,30,1700,600,2024-08-12 14:40:00,2024-08-13 16:18:50
400,40,1500,600,2024-08-12 14:40:00,2024-08-13 16:18:50
500,50,1300,600,2024-08-12 14:40:00,2024-08-13 16:18:50
600,60,200,600,2024-08-12 14:40:00,2024-08-13 16:18:50
700,70,1800,600,2024-08-12 14:40:00,2024-08-13 16:18:50
800,80,1300,600,2024-08-12 14:40:00,2024-08-13 16:18:50
900,90,1000,600,2024-08-12 14:40:00,2024-08-13 16:18:50
100,10,200,600,2024-08-12 14:50:00,2024-08-13 16:18:50
200,20,1900,600,2024-08-12 14:50:00,2024-08-13 16:18:50
300,30,700,600,2024-08-12 14:50:00,2024-08-13 16:18:50
400,40,900,600,2024-08-12 14:50:00,2024-08-13 16:18:50
500,50,100,600,2024-08-12 14:50:00,2024-08-13 16:18:50
600,60,1100,600,2024-08-12 14:50:00,2024-08-13 16:18:50
700,70,200,600,2024-08-12 14:50:00,2024-08-13 16:18:50
800,80,700,600,2024-08-12 14:50:00,2024-08-13 16:18:50
900,90,1900,600,2024-08-12 14:50:00,2024-08-13 16:18:50
100,10,400,600,2024-08-12 15:00:00,2024-08-13 16:18:50
200,20,1400,600,2024-08-12 15:00:00,2024-08-13 16:18:50
300,30,1500,600,2024-08-12 15:00:00,2024-08-13 16:18:50
400,40,1600,600,2024-08-12 15:00:00,2024-08-13 16:18:50
500,50,200,600,2024-08-12 15:00:00,2024-08-13 16:18:50
600,60,900,600,2024-08-12 15:00:00,2024-08-13 16:18:50
700,70,600,600,2024-08-12 15:00:00,2024-08-13 16:18:50
800,80,1500,600,2024-08-12 15:00:00,2024-08-13 16:18:50
900,90,1600,600,2024-08-12 15:00:00,2024-08-13 16:18:50
100,10,1700,600,2024-08-12 15:10:00,2024-08-13 16:18:50
200,20,1800,600,2024-08-12 15:10:00,2024-08-13 16:18:50
300,30,300,600,2024-08-12 15:10:00,2024-08-13 16:18:50
400,40,800,600,2024-08-12 15:10:00,2024-08-13 16:18:50
500,50,1100,600,2024-08-12 15:10:00,2024-08-13 16:18:50
600,60,800,600,2024-08-12 15:10:00,2024-08-13 16:18:50
700,70,100,600,2024-08-12 15:10:00,2024-08-13 16:18:50
800,80,1100,600,2024-08-12 15:10:00,2024-08-13 16:18:50
900,90,1700,600,2024-08-12 15:10:00,2024-08-13 16:18:50
100,10,1000,600,2024-08-12 15:20:00,2024-08-13 16:18:50
200,20,1400,600,2024-08-12 15:20:00,2024-08-13 16:18:50
300,30,600,600,2024-08-12 15:20:00,2024-08-13 16:18:50
400,40,700,600,2024-08-12 15:20:00,2024-08-13 16:18:50
500,50,600,600,2024-08-12 15:20:00,2024-08-13 16:18:50
600,60,1300,600,2024-08-12 15:20:00,2024-08-13 16:18:50
700,70,200,600,2024-08-12 15:20:00,2024-08-13 16:18:50
800,80,200,600,2024-08-12 15:20:00,2024-08-13 16:18:50
900,90,600,600,2024-08-12 15:20:00,2024-08-13 16:18:50
100,10,500,600,2024-08-12 15:30:00,2024-08-13 16:18:50
200,20,600,600,2024-08-12 15:30:00,2024-08-13 16:18:50
300,30,1100,600,2024-08-12 15:30:00,2024-08-13 16:18:50
400,40,1800,600,2024-08-12 15:30:00,2024-08-13 16:18:50
500,50,400,600,2024-08-12 15:30:00,2024-08-13 16:18:50
600,60,600,600,2024-08-12 15:30:00,2024-08-13 16:18:50
700,70,1100,600,2024-08-12 15:30:00,2024-08-13 16:18:50
800,80,200,600,2024-08-12 15:30:00,2024-08-13 16:18:50
900,90,1000,600,2024-08-12 15:30:00,2024-08-13 16:18:50
100,10,1700,600,2024-08-12 15:40:00,2024-08-13 16:18:50
200,20,1900,600,2024-08-12 15:40:00,2024-08-13 16:18:50
300,30,1200,600,2024-08-12 15:40:00,2024-08-13 16:18:50
400,40,200,600,2024-08-12 15:40:00,2024-08-13 16:18:50
500,50,0,600,2024-08-12 15:40:00,2024-08-13 16:18:50
600,60,1000,600,2024-08-12 15:40:00,2024-08-13 16:18:50
700,70,800,600,2024-08-12 15:40:00,2024-08-13 16:18:50
800,80,1600,600,2024-08-12 15:40:00,2024-08-13 16:18:50
900,90,1200,600,2024-08-12 15:40:00,2024-08-13 16:18:50
100,10,1500,600,2024-08-12 15:50:00,2024-08-13 16:18:50
200,20,1400,600,2024-08-12 15:50:00,2024-08-13 16:18:50
300,30,1900,600,2024-08-12 15:50:00,2024-08-13 16:18:50
400,40,1200,600,2024-08-12 15:50:00,2024-08-13 16:18:50
500,50,1700,600,2024-08-12 15:50:00,2024-08-13 16:18:50
600,60,300,600,2024-08-12 15:50:00,2024-08-13 16:18:50
700,70,700,600,2024-08-12 15:50:00,2024-08-13 16:18:50
800,80,200,600,2024-08-12 15:50:00,2024-08-13 16:18:50
900,90,700,600,2024-08-12 15:50:00,2024-08-13 16:18:50
100,10,1100,600,2024-08-12 16:00:00,2024-08-13 16:18:50
200,20,200,600,2024-08-12 16:00:00,2024-08-13 16:18:50
300,30,0,600,2024-08-12 16:00:00,2024-08-13 16:18:50
400,40,200,600,2024-08-12 16:00:00,2024-08-13 16:18:50
500,50,1600,600,2024-08-12 16:00:00,2024-08-13 16:18:50
600,60,1500,600,2024-08-12 16:00:00,2024-08-13 16:18:50
700,70,400,600,2024-08-12 16:00:00,2024-08-13 16:18:50
800,80,100,600,2024-08-12 16:00:00,2024-08-13 16:18:50
900,90,1700,600,2024-08-12 16:00:00,2024-08-13 16:18:50
100,10,1400,600,2024-08-12 16:10:00,2024-08-13 16:18:50
200,20,1200,600,2024-08-12 16:10:00,2024-08-13 16:18:50
300,30,1500,600,2024-08-12 16:10:00,2024-08-13 16:18:50
400,40,400,600,2024-08-12 16:10:00,2024-08-13 16:18:50
500,50,1000,600,2024-08-12 16:10:00,2024-08-13 16:18:50
600,60,1700,600,2024-08-12 16:10:00,2024-08-13 16:18:50
700,70,100,600,2024-08-12 16:10:00,2024-08-13 16:18:50
800,80,800,600,2024-08-12 16:10:00,2024-08-13 16:18:50
900,90,1700,600,2024-08-12 16:10:00,2024-08-13 16:18:50
100,10,800,600,2024-08-12 16:20:00,2024-08-13 16:18:50
200,20,1000,600,2024-08-12 16:20:00,2024-08-13 16:18:50
300,30,1200,600,2024-08-12 16:20:00,2024-08-13 16:18:50
400,40,1600,600,2024-08-12 16:20:00,2024-08-13 16:18:50
500,50,600,600,2024-08-12 16:20:00,2024-08-13 16:18:50
600,60,600,600,2024-08-12 16:20:00,2024-08-13 16:18:50
700,70,900,600,2024-08-12 16:20:00,2024-08-13 16:18:50
800,80,1300,600,2024-08-12 16:20:00,2024-08-13 16:18:50
900,90,1200,600,2024-08-12 16:20:00,2024-08-13 16:18:50
100,10,1900,600,2024-08-12 16:30:00,2024-08-13 16:18:50
200,20,700,600,2024-08-12 16:30:00,2024-08-13 16:18:50
300,30,1700,600,2024-08-12 16:30:00,2024-08-13 16:18:50
400,40,500,600,2024-08-12 16:30:00,2024-08-13 16:18:50
500,50,600,600,2024-08-12 16:30:00,2024-08-13 16:18:50
600,60,1500,600,2024-08-12 16:30:00,2024-08-13 16:18:50
700,70,1200,600,2024-08-12 16:30:00,2024-08-13 16:18:50
800,80,500,600,2024-08-12 16:30:00,2024-08-13 16:18:50
900,90,1400,600,2024-08-12 16:30:00,2024-08-13 16:18:50
100,10,1900,600,2024-08-12 16:40:00,2024-08-13 16:18:50
200,20,700,600,2024-08-12 16:40:00,2024-08-13 16:18:50
300,30,1500,600,2024-08-12 16:40:00,2024-08-13 16:18:50
400,40,300,600,2024-08-12 16:40:00,2024-08-13 16:18:50
500,50,1300,600,2024-08-12 16:40:00,2024-08-13 16:18:50
600,60,900,600,2024-08-12 16:40:00,2024-08-13 16:18:50
700,70,500,600,2024-08-12 16:40:00,2024-08-13 16:18:50
800,80,800,600,2024-08-12 16:40:00,2024-08-13 16:18:50
900,90,100,600,2024-08-12 16:40:00,2024-08-13 16:18:50
100,10,1200,600,2024-08-12 16:50:00,2024-08-13 16:18:50
200,20,500,600,2024-08-12 16:50:00,2024-08-13 16:18:50
300,30,1100,600,2024-08-12 16:50:00,2024-08-13 16:18:50
400,40,500,600,2024-08-12 16:50:00,2024-08-13 16:18:50
500,50,1800,600,2024-08-12 16:50:00,2024-08-13 16:18:50
600,60,100,600,2024-08-12 16:50:00,2024-08-13 16:18:50
700,70,600,600,2024-08-12 16:50:00,2024-08-13 16:18:50
800,80,1800,600,2024-08-12 16:50:00,2024-08-13 16:18:50
900,90,1400,600,2024-08-12 16:50:00,2024-08-13 16:18:50
100,10,1800,600,2024-08-12 17:00:00,2024-08-13 16:18:50
200,20,200,600,2024-08-12 17:00:00,2024-08-13 16:18:50
300,30,1200,600,2024-08-12 17:00:00,2024-08-13 16:18:50
400,40,1900,600,2024-08-12 17:00:00,2024-08-13 16:18:50
500,50,1300,600,2024-08-12 17:00:00,2024-08-13 16:18:50
600,60,700,600,2024-08-12 17:00:00,2024-08-13 16:18:50
700,70,0,600,2024-08-12 17:00:00,2024-08-13 16:18:50
800,80,0,600,2024-08-12 17:00:00,2024-08-13 16:18:50
900,90,700,600,2024-08-12 17:00:00,2024-08-13 16:18:50
100,10,100,600,2024-08-12 17:10:00,2024-08-13 16:18:50
200,20,400,600,2024-08-12 17:10:00,2024-08-13 16:18:50
300,30,900,600,2024-08-12 17:10:00,2024-08-13 16:18:50
400,40,1300,600,2024-08-12 17:10:00,2024-08-13 16:18:50
500,50,1700,600,2024-08-12 17:10:00,2024-08-13 16:18:50
600,60,1700,600,2024-08-12 17:10:00,2024-08-13 16:18:50
700,70,1100,600,2024-08-12 17:10:00,2024-08-13 16:18:50
800,80,800,600,2024-08-12 17:10:00,2024-08-13 16:18:50
900,90,500,600,2024-08-12 17:10:00,2024-08-13 16:18:50
100,10,1600,600,2024-08-12 17:20:00,2024-08-13 16:18:50
200,20,700,600,2024-08-12 17:20:00,2024-08-13 16:18:50
300,30,300,600,2024-08-12 17:20:00,2024-08-13 16:18:50
400,40,1800,600,2024-08-12 17:20:00,2024-08-13 16:18:50
500,50,600,600,2024-08-12 17:20:00,2024-08-13 16:18:50
600,60,1100,600,2024-08-12 17:20:00,2024-08-13 16:18:50
700,70,1600,600,2024-08-12 17:20:00,2024-08-13 16:18:50
800,80,0,600,2024-08-12 17:20:00,2024-08-13 16:18:50
